0,0,https://thehackernews.com/2017/08/hacking-secure-messenger-encryption.html,"A Company Offers $500,000 For Secure Messaging Apps Zero-Day Exploits","hacking, mobile"
1,1,https://thehackernews.com/2017/08/android-banking-trojan.html,Android Trojan Now Targets Non-Banking Apps that Require Card Payments,"hacking, mobile"
2,2,https://thehackernews.com/2017/12/ethical-hacking-trainings.html,"Get the Ultimate 2018 Hacker Bundle – Pay What You Want
 ","hacking, mobile"
3,3,https://thehackernews.com/2017/07/android-banking-malware.html,Dangerous Mobile Banking Trojan Gets 'Keylogger' to Steal Everything,"hacking, mobile"
4,4,https://thehackernews.com/2017/04/mobile-open-port-hacking.html,Insecure Apps that Open Ports Leave Millions of Smartphones at Risk of Hacking,"hacking, mobile"
5,5,https://thehackernews.com/2017/01/mobile-hacking-cellebrite.html,Phone-Hacking Firm Cellebrite Got Hacked; 900GB Of Data Stolen,"hacking, mobile"
6,6,https://thehackernews.com/2016/12/hacking-android-smartphone.html,More Firmware Backdoor Found In Cheap Android Phones,"hacking, mobile"
7,7,https://thehackernews.com/2016/10/phone-hacking-software.html,Hacking Firmware from Mobile Phone Hacking Company Leaked Online,"hacking, mobile"
8,8,https://thehackernews.com/2016/08/mr-robot-pwn-phone.html,Tonight Mr. Robot is Going to Reveal ‘Dream Device For Hackers’,"hacking, mobile"
9,9,https://thehackernews.com/2016/03/unlock-google-android.html,Google has also been Ordered to Unlock 9 Android Phones,"hacking, mobile"
10,10,https://thehackernews.com/2017/06/cyber-security-certification-training.html,"Online IT Security Courses – CISA, CISM, CISSP Certifications","hacking, mobile"
11,11,https://thehackernews.com/2015/11/nsa-phone-surveillance.html,Today NSA has Stopped its Bulk Phone Surveillance Program,"hacking, mobile"
12,12,https://thehackernews.com/2015/11/android-malware-backdoor.html,Backdoor in Baidu Android SDK Puts 100 Million Devices at Risk,"hacking, mobile"
13,13,https://thehackernews.com/2015/10/android-stagefright-vulnerability.html,Stagefright Bug 2.0 — One Billion Android SmartPhones Vulnerable to Hacking,"hacking, mobile"
14,14,https://thehackernews.com/2015/08/apple-iphone-hacking.html,iOS Sandbox Vulnerability Puts Enterprise Data at Risk,"hacking, mobile"
15,15,https://thehackernews.com/2015/06/hacking-samsung-mobile.html,Samsung Flaw Lets Hacker Easily Take Control of Your Galaxy Mobile Remotely,"hacking, mobile"
16,16,https://thehackernews.com/2015/02/malware-espionage-ios-apps.html,Espionage Campaign targets iOS devices with Malware apps,"hacking, mobile"
17,17,https://thehackernews.com/2014/10/airhopper-hacking-into-isolated.html,AirHopper — Hacking Into an Isolated Computer Using FM Radio Signals ,"hacking, mobile"
18,18,https://thehackernews.com/2014/08/xiaomi-phones-secretly-sending-users.html,Xiaomi Phones Secretly Sending Users' Sensitive Data to Chinese Servers,"hacking, mobile"
19,19,https://thehackernews.com/2014/07/android-vulnerability-allows.html,Android Vulnerability Allows Applications to Make Unauthorized Calls without Permissions,"hacking, mobile"
20,20,https://thehackernews.com/2014/07/facebook-sdk-vulnerability-puts.html,Facebook SDK Vulnerability Puts Millions of Smartphone Users' Accounts at Risk,"hacking, mobile"
21,21,https://thehackernews.com/2014/03/backdoor-found-in-samsung-galaxy.html,"Backdoor found in Samsung Galaxy Devices, allows Hackers to remotely access/modify Data","hacking, mobile"
22,22,https://thehackernews.com/2017/12/ethical-hacking-trainings.html,"Get the Ultimate 2018 Hacker Bundle – Pay What You Want
 ","hacking, mobile"
23,23,https://thehackernews.com/2014/02/ios-vulnerability-allows-to-disable_8.html,iOS vulnerability allows to disable 'Find My iPhone' without password,"hacking, mobile"
24,24,https://thehackernews.com/2014/02/android-app-that-notifies-you-whenever.html,Android app that notifies you whenever GPS enabled apps access your location,"hacking, mobile"
25,25,https://thehackernews.com/2014/01/snapchats-new-security-feature-hacked.html,Snapchat's new Security feature Hacked in 30 Minutes; CAPTCHA Cracking tool published,"hacking, mobile"
26,26,https://thehackernews.com/2014/01/government-launched-china-operating.html,Government launched 'China Operating System' (COS) to break Andoird and iOS Monopoly,"hacking, mobile"
27,27,https://thehackernews.com/2014/01/nsa-admits-to-collect-200-million-text.html,NSA admits to collect 200 Million text messages per day under Project DISHFIRE,"hacking, mobile"
28,28,https://thehackernews.com/2013/12/judge-ruled-nsa-telephone-metadata.html,Judge Ruled - NSA Telephone Metadata Collection violates the Fourth Amendment,"hacking, mobile"
29,29,https://thehackernews.com/2013/12/mouabad-android-malware-calling-to.html,Mouabad Android Malware calling to Premium numbers; Generating revenue for its Master,"hacking, mobile"
30,30,https://thehackernews.com/2017/06/cyber-security-certification-training.html,"Online IT Security Courses – CISA, CISM, CISSP Certifications","hacking, mobile"
31,31,https://thehackernews.com/2013/11/another-master-key-vulnerability.html,Another Master Key vulnerability discovered in Android 4.3,"hacking, mobile"
32,32,https://thehackernews.com/2013/10/new-android-banking-trojan-targeting.html,New Android Banking Trojan targeting Korean users,"hacking, mobile"
33,33,https://thehackernews.com/2013/10/critical-but-simple-vulnerability-in.html,"Simple, but Critical vulnerability in Verizon Portal revealed users' SMS History","hacking, mobile"
34,34,https://thehackernews.com/2013/10/exclusive-security-researcher-developed.html,First ever Malware for Firefox Mobile OS developed by Researcher,"hacking, mobile"
